iteracion,recompensa,longitud,contribucion_recompensa_vx,contribucion_recompensa_progreso,contribucion_recompensa_vy,contribucion_recompensa_yaw,contribucion_recompensa_vertical,contribucion_recompensa_supervivencia,contribucion_penalizacion_y,contribucion_penalizacion_suavidad,contribucion_penalizacion_torque,contribucion_penalizacion_pose,recompensa_vx,recompensa_progreso,recompensa_vy,recompensa_yaw,recompensa_vertical,recompensa_supervivencia,activacion_marcha,penalizacion_y,penalizacion_error_vx,penalizacion_suavidad,penalizacion_torque,penalizacion_pose,recompensa_fin_supervivencia,recompensa_fin_distancia_objetivo,penalizacion_fin_error_vx,penalizacion_fin_caida
0,24.941566467285156,1178.135009765625,9.618270269129425e-05,1.5857975199651264e-07,0.0011399645591154695,0.0005985494935885072,0.00017290284449700266,8.672386320540681e-05,2.844816719971277e-07,0.00011218164581805468,0.0005022144177928567,0.0,4.8091351345647126e-05,3.171595039930253e-07,0.02025742642581463,0.010032028891146183,0.031213417649269104,0.03157149627804756,0.00017344772641081363,5.689634235750418e-06,0.004571361001580954,0.011218165047466755,100.44288635253906,0.00024311340530402958,24.041513442993164,0.00010802410542964935,0.018354292958974838,0.9584864974021912
1,0.4199385643005371,750.3283081054688,0.0005691495025530457,8.04330047685653e-05,0.0069927554577589035,0.003101152367889881,0.0010185175342485309,0.0005105926538817585,2.899199671446695e-06,0.0008288120152428746,0.0030349972657859325,0.0,0.0002845747512765229,0.0001608660095371306,0.14973434805870056,0.07235746085643768,0.22158458828926086,0.2285071462392807,0.001021185307763517,5.798399797640741e-05,0.06310367584228516,0.08288120478391647,606.99951171875,0.0023677474819123745,6.187089920043945,0.0,0.01180187240242958,18.812911987304688
2,26.82209014892578,557.9283447265625,0.0016586389392614365,0.0006017499836161733,0.01900099776685238,0.008917349390685558,0.0028580441139638424,0.001432530116289854,8.499806426698342e-06,0.0022385837510228157,0.008178111165761948,0.0,0.0008293194696307182,0.0012034999672323465,0.4016265869140625,0.19526809453964233,0.5980333089828491,0.6174347400665283,0.002865060232579708,0.00016999612853396684,0.17867682874202728,0.22385838627815247,1635.6224365234375,0.006266542710363865,9.729387283325195,0.0,0.02361711673438549,15.270612716674805
3,76.16806030273438,874.6533203125,0.003813627641648054,0.00021646189270541072,0.04470319673418999,0.020008601248264313,0.00651357788592577,0.0032640977296978235,4.5279984988155775e-06,0.0015518572181463242,0.0053591239266097546,0.0,0.001906813820824027,0.00043292378541082144,0.28307217359542847,0.13262709975242615,0.4152943789958954,0.4246215224266052,0.006528195459395647,9.055997361429036e-05,0.08759129047393799,0.155185729265213,1071.824951171875,0.00394212594255805,17.120223999023438,0.0,0.057021886110305786,7.8797760009765625
4,100.99946594238281,1008.004150390625,0.004829959012567997,0.00016261878772638738,0.052346985787153244,0.024584252387285233,0.008000748232007027,0.004009408876299858,4.3312784328009e-06,0.0013653576606884599,0.004403937608003616,0.0,0.0024149795062839985,0.00032523757545277476,0.24373900890350342,0.11872361600399017,0.36849135160446167,0.3743090033531189,0.008018817752599716,8.662557229399681e-05,0.057579416781663895,0.13653576374053955,880.7874755859375,0.0030887476168572903,20.49493408203125,0.0,0.08619381487369537,4.505067825317383
5,125.77908325195312,1044.3787841796875,0.005261583253741264,0.00012778800737578422,0.06095624715089798,0.028077226132154465,0.00912528671324253,0.004572323989123106,3.603360255510779e-06,0.0014522832352668047,0.00445178709924221,0.0,0.002630791626870632,0.00025557601475156844,0.26353463530540466,0.12351163476705551,0.3901255428791046,0.3949231505393982,0.009144647978246212,7.20672178431414e-05,0.04953670874238014,0.1452283412218094,890.357421875,0.0030557485297322273,21.37245750427246,0.0,0.1081303060054779,3.62754225730896
6,166.6776123046875,1090.85693359375,0.00854144711047411,0.00010385281348135322,0.09066398441791534,0.043754469603300095,0.01387164369225502,0.00694896699860692,3.7431298096635146e-06,0.0015365136787295341,0.004382639192044735,0.0,0.004270723555237055,0.00020770562696270645,0.2777293026447296,0.1290828287601471,0.41251140832901,0.4153847396373749,0.01389793399721384,7.486260437872261e-05,0.034459128975868225,0.1536513864994049,876.5279541015625,0.0028715182561427355,21.976221084594727,1.0679165825422388e-05,0.13039371371269226,3.0237786769866943
7,194.28140258789062,1052.656494140625,0.012177733704447746,0.0001416655577486381,0.1286386251449585,0.05954636633396149,0.018825996667146683,0.009429315105080605,4.760518550028792e-06,0.0018211507704108953,0.005132948514074087,0.0,0.006088866852223873,0.0002833311154972762,0.3269374966621399,0.15291456878185272,0.4884415566921234,0.4917210340499878,0.01885863021016121,9.521038737148046e-05,0.04004501923918724,0.1821150779724121,1026.58984375,0.003317865077406168,20.22076416015625,0.0,0.13801789283752441,4.779237747192383
8,252.38482666015625,973.4937133789062,0.019115407019853592,0.00013996001507621258,0.19218310713768005,0.08461928367614746,0.027874544262886047,0.013959277421236038,5.8603313846106175e-06,0.002208489226177335,0.00625302130356431,0.0,0.009557703509926796,0.00027992003015242517,0.3983892500400543,0.18442605435848236,0.5888299345970154,0.5931382179260254,0.027918554842472076,0.0001172066549770534,0.05166308581829071,0.2208489179611206,1250.6043701171875,0.004011998418718576,16.71066665649414,0.0,0.1292266994714737,8.289334297180176
9,297.27313232421875,882.2435302734375,0.026860782876610756,0.00029069549054838717,0.263075590133667,0.11683646589517593,0.03827931731939316,0.019167598336935043,6.9264151534298435e-06,0.002623898908495903,0.007367613725364208,0.0,0.013430391438305378,0.0005813909810967743,0.47289860248565674,0.21665576100349426,0.6925627589225769,0.6976310610771179,0.03833519667387009,0.00013852831034455448,0.06090880185365677,0.2623898983001709,1473.5228271484375,0.004644405096769333,13.209395408630371,0.0,0.11383437365293503,11.790605545043945
10,373.4075927734375,816.2353515625,0.03886488080024719,0.0003291751490905881,0.35698699951171875,0.15444716811180115,0.05132140591740608,0.025696512311697006,8.386348781641573e-06,0.002920526545494795,0.008292666636407375,0.0,0.019432440400123596,0.0006583502981811762,0.5326669216156006,0.24130110442638397,0.7717006206512451,0.7775833010673523,0.05139302462339401,0.00016772697563283145,0.0703781396150589,0.29205265641212463,1658.533447265625,0.0051917568780481815,9.672324180603027,9.005267929751426e-05,0.09323442727327347,15.327676773071289
11,439.185791015625,795.3441772460938,0.04740109667181969,0.00048175762640312314,0.41723066568374634,0.1814604103565216,0.0593770295381546,0.029727477580308914,9.167710231849924e-06,0.0031560275238007307,0.008877776563167572,0.0,0.023700548335909843,0.0009635152528062463,0.5715671181678772,0.2565957009792328,0.826177716255188,0.832192599773407,0.05945495516061783,0.0001833542191889137,0.07341385632753372,0.31560274958610535,1775.555419921875,0.005455486476421356,7.721657752990723,0.0,0.08148825913667679,17.278343200683594
12,486.0507507324219,750.584716796875,0.053829312324523926,0.0005882346886210144,0.4688322842121124,0.20075573027133942,0.0667320042848587,0.033407606184482574,1.0241061318083666e-05,0.0033873405773192644,0.009515581652522087,0.0,0.026914656162261963,0.0011764693772420287,0.6169505715370178,0.2722252607345581,0.8832736611366272,0.8897900581359863,0.06681521236896515,0.0002048212627414614,0.08013886213302612,0.33873406052589417,1903.1162109375,0.0057306368835270405,5.664572715759277,0.0,0.0648026317358017,19.33542823791504
13,536.44384765625,687.8896484375,0.06989531964063644,0.0010021254420280457,0.5697585344314575,0.24165037274360657,0.08046206831932068,0.04027878865599632,1.1418092071835417e-05,0.0035750684328377247,0.010138382203876972,0.0,0.03494765982031822,0.0020042508840560913,0.6529203057289124,0.2858825623989105,0.9248105883598328,0.9322738647460938,0.08055757731199265,0.00022836183779872954,0.09009591490030289,0.3575068712234497,2027.676513671875,0.006028205621987581,4.0600385665893555,0.0,0.0505550280213356,20.93996238708496
14,596.4036865234375,683.3087158203125,0.078924760222435,0.0012712395982816815,0.628761887550354,0.26398682594299316,0.08773723244667053,0.043917737901210785,1.200271253765095e-05,0.00367236090824008,0.010411513969302177,0.0,0.0394623801112175,0.002542479196563363,0.6724313497543335,0.29163455963134766,0.9451901912689209,0.952625036239624,0.08783547580242157,0.0002400543016847223,0.09167183190584183,0.36723607778549194,2082.302978515625,0.006017318926751614,3.7835326194763184,0.0,0.050863102078437805,21.216466903686523
15,610.177001953125,608.5475463867188,0.09196291118860245,0.0017620297148823738,0.7144045829772949,0.2959531843662262,0.09931717813014984,0.04971059411764145,1.2492763744376134e-05,0.003814835799857974,0.010886559262871742,0.0,0.045981455594301224,0.0035240594297647476,0.692579984664917,0.29719278216362,0.9694521427154541,0.9777761697769165,0.0994211882352829,0.0002498552785255015,0.10038196295499802,0.3814835548400879,2177.31201171875,0.0061936452984809875,2.1536264419555664,0.0,0.031025223433971405,22.84637451171875
16,633.8466186523438,572.2138671875,0.10156765580177307,0.0021897107362747192,0.7748885154724121,0.3168450891971588,0.10696545243263245,0.05353574827313423,1.3821403626934625e-05,0.0039044669829308987,0.011148668825626373,0.0,0.050783827900886536,0.0043794214725494385,0.7071491479873657,0.30025553703308105,0.9810634255409241,0.9899497628211975,0.10707149654626846,0.0002764281234703958,0.10669248551130295,0.3904467225074768,2229.73388671875,0.006235210224986076,1.4502899646759033,0.0,0.022401150315999985,23.54970932006836
17,617.586669921875,508.4198303222656,0.11312628537416458,0.0028231386095285416,0.840717077255249,0.342308908700943,0.11485294997692108,0.05748049169778824,1.2911124031234067e-05,0.0039876243099570274,0.011385863646864891,0.0,0.05656314268708229,0.005646277219057083,0.7179934978485107,0.30066627264022827,0.9861725568771362,0.9957645535469055,0.11496098339557648,0.00025822248426266015,0.1138022392988205,0.39876240491867065,2277.1728515625,0.006258941255509853,1.3148589134216309,0.0,0.021688874810934067,23.68514060974121
18,640.438720703125,487.34796142578125,0.11956958472728729,0.003041126299649477,0.8806326985359192,0.35472482442855835,0.1198640912771225,0.05998825281858444,1.340790549875237e-05,0.004048958420753479,0.011531388387084007,0.0,0.059784792363643646,0.006082252599298954,0.7239899039268494,0.300475150346756,0.9898390173912048,0.9993311166763306,0.11997650563716888,0.0002681581536307931,0.1131947934627533,0.4048958420753479,2306.277587890625,0.006214974448084831,0.9653922319412231,0.0,0.016796931624412537,24.034608840942383
19,647.9133911132812,474.09051513671875,0.12477682530879974,0.003431763034313917,0.9078130722045898,0.3639965057373047,0.12307270616292953,0.06159200519323349,1.318698105023941e-05,0.0041006202809512615,0.011622654274106026,0.0,0.06238841265439987,0.006863526068627834,0.7261684536933899,0.299918532371521,0.9904625415802002,1.0,0.12318401038646698,0.00026373963919468224,0.11446142196655273,0.4100620150566101,2324.53076171875,0.006109495647251606,1.7131025791168213,0.0,0.030435722321271896,23.286897659301758
20,637.2960815429688,431.894287109375,0.13546501100063324,0.003901445772498846,0.9540051221847534,0.3810092806816101,0.12950217723846436,0.06480928510427475,1.3214596037869342e-05,0.004166358150541782,0.011783896945416927,0.0,0.06773250550031662,0.007802891544997692,0.7301028370857239,0.29774168133735657,0.9903736114501953,1.0,0.1296185702085495,0.0002642919425852597,0.11572907865047455,0.41663581132888794,2356.779541015625,0.006056041922420263,1.9133988618850708,0.0,0.03397631645202637,23.08660125732422
21,617.5720825195312,387.67572021484375,0.14425712823867798,0.004590398631989956,1.0027570724487305,0.39433401823043823,0.13502316176891327,0.06757254898548126,1.3048927939962596e-05,0.0042203208431601524,0.01190628856420517,0.0,0.07212856411933899,0.009180797263979912,0.7331963777542114,0.29534950852394104,0.9902046918869019,1.0,0.13514509797096252,0.00026097858790308237,0.11802755296230316,0.42203208804130554,2381.2578125,0.00598282553255558,0.9496047496795654,0.0,0.01697940193116665,24.050395965576172
22,603.1893310546875,361.472412109375,0.1493702232837677,0.005070886109024286,1.0212830305099487,0.39420875906944275,0.13721045851707458,0.0686667338013649,1.3379404663282912e-05,0.004267756827175617,0.012013643980026245,0.0,0.07468511164188385,0.010141772218048573,0.7335790991783142,0.2923283576965332,0.9900864362716675,1.0,0.1373334676027298,0.0002675881260074675,0.1197027638554573,0.426775723695755,2402.72900390625,0.005935530178248882,0.2095048725605011,0.0,0.0037315364461392164,24.790494918823242
23,596.729248046875,363.0360107421875,0.14700306951999664,0.005252682138234377,1.0007052421569824,0.3845551609992981,0.13435564935207367,0.06723718345165253,1.3048394066572655e-05,0.004320370964705944,0.012033646926283836,0.0,0.07350153475999832,0.010505364276468754,0.7363437414169312,0.2922787070274353,0.9902186393737793,1.0,0.13447436690330505,0.00026096790679730475,0.11858493834733963,0.4320370852947235,2406.7294921875,0.005835166200995445,0.14331451058387756,0.0,0.002493712119758129,24.856685638427734
24,610.3731689453125,363.861083984375,0.15041455626487732,0.005621443502604961,1.0149402618408203,0.39060524106025696,0.1362149715423584,0.06817059218883514,1.3096326256345492e-05,0.004373205825686455,0.012119480408728123,0.0,0.07520727813243866,0.011242887005209923,0.7354558706283569,0.2899535894393921,0.9903519153594971,1.0,0.1363411843776703,0.0002619265578687191,0.1177532970905304,0.4373205900192261,2423.89599609375,0.005776784382760525,0.08878976851701736,0.0,0.0016435174038633704,24.911209106445312
25,615.5457763671875,363.1446533203125,0.1540079563856125,0.006205766927450895,1.0268292427062988,0.38963937759399414,0.13759294152259827,0.06886313855648041,1.37749648274621e-05,0.004423311911523342,0.012260258197784424,0.0,0.07700397819280624,0.01241153385490179,0.7353028059005737,0.28900718688964844,0.9904191493988037,1.0,0.13772627711296082,0.0002754993038251996,0.11742173135280609,0.4423311650753021,2452.0517578125,0.005727376788854599,0.0439453125,0.0,0.000783925992436707,24.9560546875
26,657.0518798828125,372.6761474609375,0.16159570217132568,0.006639672443270683,1.0601224899291992,0.40558817982673645,0.14239974319934845,0.07127239555120468,1.3887682143831626e-05,0.004477799870073795,0.012328417040407658,0.0,0.08079785108566284,0.013279344886541367,0.7364873290061951,0.2878958582878113,0.990744948387146,1.0,0.14254479110240936,0.0002777536283247173,0.115382120013237,0.44777995347976685,2465.68359375,0.005688847042620182,0.054961130023002625,0.0,0.0009726572316139936,24.945039749145508
