label,timestamp,lineage,run_dir,reward_weight_count
R1,2026-06-29 21:39:53,v4,logs/rsl_rl/kbot_forward_flat/2026-06-29_21-39-53_v4_auto_from_2026_06_29_21_14_52_v4_auto_from_2026_06_29_17_50_22_v4_auto_from_v32m200_m200_t_m500_to_800_save25_20260629,62
R2,2026-06-29 21:14:52,v4,logs/rsl_rl/kbot_forward_flat/2026-06-29_21-14-52_v4_auto_from_2026_06_29_17_50_22_v4_auto_from_v32m200_m200_to_300_save25_20260629_m300_m300_to_500_save25_20260629,62
R3,2026-06-29 17:50:22,v4,logs/rsl_rl/kbot_forward_flat/2026-06-29_17-50-22_v4_auto_from_v32m200_m200_to_300_save25_20260629,62
R4,2026-06-29 16:49:14,v4,logs/rsl_rl/kbot_forward_flat/2026-06-29_16-49-14_v4_auto_from_2026_06_29_15_40_46_v4_auto_from_2026_06_28_18_15_15_v4_top4_decim2_10000cfg_fro_m500_to_800_save25_20260629,62
R5,2026-06-29 15:40:46,v4,logs/rsl_rl/kbot_forward_flat/2026-06-29_15-40-46_v4_auto_from_2026_06_28_18_15_15_v4_top4_decim2_10000cfg_from_v32m200_to_300_save25_20260628__m300_to_500_save25_20260629,62
R6,2026-06-28 18:15:15,v4,logs/rsl_rl/kbot_forward_flat/2026-06-28_18-15-15_v4_top4_decim2_10000cfg_from_v32m200_to_300_save25_20260628,62
R7,2026-06-27 08:33:22,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_08-33-22_v4_cadence005_from_v32m200_to_300_save25_20260627,63
R8,2026-06-27 08:24:23,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_08-24-23_v4_cadence02_from_v32m200_to_300_save25_20260627,63
R9,2026-06-27 08:07:51,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_08-07-51_v4_precycle_penalty_debounce04_from_v32m200_to_300_save25_20260627,62
R10,2026-06-27 07:59:16,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_07-59-16_v4_precycle_penalty_debounce01_from_v32m200_to_300_save25_20260627,62
R11,2026-06-27 07:47:36,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_07-47-36_v4_precycle_penalty_debounce01_from_m10000_to_10200_save25_20260627,62
R12,2026-06-27 04:37:01,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_04-37-01_v4_top4_decim2_phase_latched_precycle0_from_m5000_to_10000_save25_20260627,62
R13,2026-06-27 03:03:33,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_03-03-33_v4_top4_decim2_phase_latched_precycle0_from_m2500_to_5000_save25_20260627,62
R14,2026-06-27 02:13:02,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_02-13-02_v4_top4_decim2_phase_latched_precycle0_from_m1200_to_2500_save25_20260627,62
R15,2026-06-27 01:54:46,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_01-54-46_v4_top4_decim2_phase_latched_precycle0_from_m800_to_1200_save25_20260627,62
R16,2026-06-27 01:40:00,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_01-40-00_v4_top4_decim2_phase_latched_precycle0_from_m500_to_800_save25_20260627,62
R17,2026-06-27 01:33:28,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_01-33-28_v4_top4_decim2_phase_latched_precycle0_from_m450_to_500_save25_20260627,62
R18,2026-06-27 01:22:49,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_01-22-49_v4_top4_decim2_phase_latched_precycle0_from_m300_to_800_save25_20260627,62
R19,2026-06-27 01:04:35,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_01-04-35_v4_top4_decim2_phase_latched_precycle0_from_v32m200_to_300_save25_20260627,62
R20,2026-06-27 00:41:17,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_00-41-17_v4_phase_latched_support50_precycle0_from_plantguard_m800_to_810_20260627,62
R21,2026-06-27 00:20:48,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_00-20-48_v4_phase_latched_support50_from_plantguard_m800_to_810_20260627,62
R22,2026-06-27 00:07:46,v4,logs/rsl_rl/kbot_forward_flat/2026-06-27_00-07-46_v4_phase_latched_support_from_plantguard_m800_10it_20260627,62
R23,2026-06-26 23:36:16,,logs/rsl_rl/kbot_forward_flat/2026-06-26_23-36-16,62
R24,2026-06-26 23:28:34,v4,logs/rsl_rl/kbot_forward_flat/2026-06-26_23-28-34_v4_top4_decim2_plant5_support25_clear200_swing20_zero_to_200_save25_20260627,62
R25,2026-06-26 23:27:34,v4,logs/rsl_rl/kbot_forward_flat/2026-06-26_23-27-34_v4_top4_decim2_plant5_support25_clear200_swing40_zero_to_200_save25_20260627,62
R26,2026-06-26 22:59:44,v4,logs/rsl_rl/kbot_forward_flat/2026-06-26_22-59-44_v4_top4_decim2_plant5_support25_clear200_swing40_from_m300_to_800_save25_20260627,62
R27,2026-06-26 22:38:20,v4,logs/rsl_rl/kbot_forward_flat/2026-06-26_22-38-20_v4_top4_decim2_plant5_support25_clear200_swing40_from_v32m200_to_300_save25_20260627,62
R28,2026-06-26 21:34:25,v4,logs/rsl_rl/kbot_forward_flat/2026-06-26_21-34-25_v4_top4_decim2_plant50_support25_clear200_swing40_from_v32m200_to_300_save25_20260626,62
R29,2026-06-26 19:51:58,v4,logs/rsl_rl/kbot_forward_flat/2026-06-26_19-51-58_v4_top4_decim2_plant50_support25_clear200_from_v32m200_to_300_save25_20260626,62
R30,2026-06-25 12:40:54,v4,logs/rsl_rl/kbot_forward_flat/2026-06-25_12-40-54_v4_top4_decim2_plantguard_from_m300_to_800_save25_20260625,62
R31,2026-06-25 12:39:34,v4,logs/rsl_rl/kbot_forward_flat/2026-06-25_12-39-34_v4_top4_decim2_plantguard_from_m300_to_800_save25_20260625,62
R32,2026-06-25 12:37:38,v4,logs/rsl_rl/kbot_forward_flat/2026-06-25_12-37-38_v4_top4_decim2_plantguard_from_m300_to_800_20260625,62
R33,2026-06-25 12:23:43,v4,logs/rsl_rl/kbot_forward_flat/2026-06-25_12-23-43_v4_top4_decim2_plantguard_from_v32m200_to_300_20260625,62
R34,2026-06-23 23:10:24,v4,logs/rsl_rl/kbot_forward_flat/2026-06-23_23-10-24_v4_top4_decim2_support50_supportpen10_clear20_plant25_from_v32m200_to_300_20260623,62
R35,2026-06-23 20:31:30,v4,logs/rsl_rl/kbot_forward_flat/2026-06-23_20-31-30_v4_top4_decim2_support50_clear20_plant25_densefoot20_from_m300_to_800_20260623,62
R36,2026-06-23 20:00:26,v4,logs/rsl_rl/kbot_forward_flat/2026-06-23_20-00-26_v4_top4_decim2_support50_clear20_plant25_from_v32m200_to_300_rerun_20260623,62
R37,2026-06-23 19:28:24,v4,logs/rsl_rl/kbot_forward_flat/2026-06-23_19-28-24_v4_top4_decim2_support50_clear20_plant25_from_v32m200_to_300_save25_20260623,62
R38,2026-06-23 18:22:04,v4,logs/rsl_rl/kbot_forward_flat/2026-06-23_18-22-04_v4_top4_conservative_decim2_from_v32m200_to_300_save25_20260623,62
R39,2026-06-23 17:21:47,v4,logs/rsl_rl/kbot_forward_flat/2026-06-23_17-21-47_v4_decim2_gait_quality_from_v32m200_to_300_save25_20260623,62
R40,2026-06-23 15:48:14,v3.2,logs/rsl_rl/kbot_forward_flat/2026-06-23_15-48-14_v3_2_may31_top4_stage2_4096envs_from_200_to_300_save25_20260623,63
R41,2026-06-23 15:42:59,v3.2,logs/rsl_rl/kbot_forward_flat/2026-06-23_15-42-59_v3_2_may31_top4_4096envs_zero_to_200_save25_20260623,63
