label,timestamp,run_dir,has_params_env
R1,2026-06-25 12:40:54,logs/rsl_rl/kbot_forward_flat/2026-06-25_12-40-54_K1.L7.3,True
R2,2026-06-25 12:39:34,logs/rsl_rl/kbot_forward_flat/2026-06-25_12-39-34_K1.L7.2,True
R3,2026-06-25 12:37:38,logs/rsl_rl/kbot_forward_flat/2026-06-25_12-37-38_K1.L7.1,True
R4,2026-06-25 12:23:43,logs/rsl_rl/kbot_forward_flat/2026-06-25_12-23-43_K1.L7,True
R5,2026-06-23 23:10:24,logs/rsl_rl/kbot_forward_flat/2026-06-23_23-10-24_K1.L6,True
R6,2026-06-23 20:31:30,logs/rsl_rl/kbot_forward_flat/2026-06-23_20-31-30_K1.L5.1,True
R7,2026-06-23 20:00:26,logs/rsl_rl/kbot_forward_flat/2026-06-23_20-00-26_K1.L5,True
R8,2026-06-23 19:28:24,logs/rsl_rl/kbot_forward_flat/2026-06-23_19-28-24_K1.L4,True
R9,2026-06-23 18:22:04,logs/rsl_rl/kbot_forward_flat/2026-06-23_18-22-04_K1.L3,True
R10,2026-06-23 17:21:47,logs/rsl_rl/kbot_forward_flat/2026-06-23_17-21-47_K1.L2,True
R11,2026-06-23 15:13:25,logs/rsl_rl/kbot_forward_flat/2026-06-23_15-13-25_L6.2,True
R12,2026-06-23 14:59:36,logs/rsl_rl/kbot_forward_flat/2026-06-23_14-59-36_L7.3,True
R13,2026-06-22 19:57:27,logs/rsl_rl/kbot_forward_flat/2026-06-22_19-57-27_L7.2,True
R14,2026-06-22 19:30:05,logs/rsl_rl/kbot_forward_flat/2026-06-22_19-30-05_L7.1,True
R15,2026-06-22 18:57:49,logs/rsl_rl/kbot_forward_flat/2026-06-22_18-57-49_L7,True
R16,2026-06-22 18:39:07,logs/rsl_rl/kbot_forward_flat/2026-06-22_18-39-07_L6.1,True
R17,2026-06-22 18:16:49,logs/rsl_rl/kbot_forward_flat/2026-06-22_18-16-49_L6,True
R18,2026-06-22 15:07:27,logs/rsl_rl/kbot_forward_flat/2026-06-22_15-07-27_L5.1,True
R19,2026-06-22 14:48:50,logs/rsl_rl/kbot_forward_flat/2026-06-22_14-48-50_L5,True
R20,2026-06-22 14:45:07,logs/rsl_rl/kbot_forward_flat/2026-06-22_14-45-07_L4,True
R21,2026-06-22 12:28:34,logs/rsl_rl/kbot_forward_flat/2026-06-22_12-28-34_L3.1,True
R22,2026-06-22 11:47:18,logs/rsl_rl/kbot_forward_flat/2026-06-22_11-47-18_L3,True
R23,2026-06-19 15:19:33,logs/rsl_rl/kbot_forward_flat/2026-06-19_15-19-33_L2,True
R24,2026-06-19 14:52:40,logs/rsl_rl/kbot_forward_flat/2026-06-19_14-52-40_L1,True
