reward,K1,300,500,800,1200,2500
alternating_foot_phase,0.18,,,,,
alternating_step_duration_ema_l1,,-3.0,-5.0,-7.5,-10.0,-10.0
alternating_step_symmetry_l2,0.0,-0.2,-0.2,-0.2,-0.2,-0.2
contact_duty_symmetry_l2,0.0,-2.0,-2.0,-2.0,-2.0,-2.0
dense_foot_swing_speed,0.0,10.0,10.0,10.0,10.0,10.0
dense_swing_foot_target_location_exp,0.0,50.0,75.0,125.0,125.0,30.0
foot_retreat,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
foot_sagittal_separation_l1,-2.0,-4.0,-4.0,-4.0,-4.0,-4.0
gait_cycle_plant_water_level,0.0,0.25,0.5,0.85,2.5,2.5
gait_cycle_support,0.0,2.5,5.0,7.5,20.0,20.0
signed_joint_pair_ema_symmetry_l2,0.0,-3.0,-3.0,-3.0,-3.0,-3.0
swing_foot_overtake_l1,-3.0,-100.0,-100.0,-100.0,-100.0,-100.0
swing_sole_clearance,0.0,75.0,75.0,75.0,75.0,75.0
termination_penalty,-750.0,-1500.0,-1500.0,-1500.0,-1500.0,-10000.0
foot_world_parallel_max_l2,-0.8,-80.0,-80.0,-80.0,-80.0,-80.0
world_forward_velocity_clip,30.0,15.0,15.0,15.0,15.0,15.0
